Data*Kraków - Aleja Krasińskiego (benzen [jednostka ug/m3])*Kraków - Aleja Krasińskiego (tlenek węgla [jednostka ug/m3])*Kraków - Aleja Krasińskiego (tlenki azotu [jednostka ug/m3])*Kraków - Aleja Krasińskiego (tlenek azotu [jednostka ug/m3])*Kraków - Aleja Krasińskiego (dwutlenek azotu [jednostka ug/m3])*Kraków - Aleja Krasińskiego (pył zawieszony PM10 [jednostka ug/m3])*Kraków - Aleja Krasińskiego (pył zawieszony PM2.5 [jednostka ug/m3])
2022-08-24 12:00 ,1.1,24.3,11.6,6.5,53.0,25.2,
2022-08-24 13:00 ,1.1,34.3,14.5,12.0,61.7,26.7,
2022-08-24 14:00 ,1.0,29.0,11.2,11.8,67.6,27.8,
2022-08-24 15:00 ,1.0,32.9,11.6,15.2,73.2,29.1,
2022-08-24 16:00 ,1.0,35.5,13.4,15.0,71.2,30.3,
2022-08-24 17:00 ,1.1,45.3,17.6,18.3,70.8,31.4,
2022-08-24 18:00 ,1.0,51.7,20.0,20.9,52.9,21.2,
2022-08-24 19:00 ,1.3,83.1,35.4,28.9,39.2,15.8,
2022-08-24 20:00 ,1.3,76.8,31.9,27.9,36.8,14.1,
2022-08-24 21:00 ,1.4,104.0,48.3,30.1,37.9,15.3,
2022-08-24 22:00 ,1.1,67.1,27.9,24.2,35.9,14.5,
2022-08-24 23:00 ,0.8,36.3,12.6,16.9,33.9,15.0,
2022-08-25 00:00 ,0.8,26.9,8.0,14.5,32.6,15.1,
2022-08-25 01:00 ,0.7,19.9,6.0,10.6,34.5,14.9,
2022-08-25 02:00 ,0.7,15.8,5.5,7.4, ,28.2,
2022-08-25 03:00 ,0.6,15.5,5.7,6.8,30.9,13.4,
2022-08-25 04:00 ,0.6,23.9,10.7,7.5,43.2,15.1,
2022-08-25 05:00 ,0.7,39.1,19.3,9.5,40.6,16.2,
2022-08-25 06:00 ,0.9,82.8,44.5,14.5,39.6,16.2,
2022-08-25 07:00 ,0.9,72.3,39.5,11.7,40.2,16.6,
2022-08-25 08:00 ,0.8,62.5,31.5,14.2,39.8,17.7,
2022-08-25 09:00 ,0.9,53.0,23.8,16.5,52.9,20.4,
2022-08-25 10:00 ,0.9,67.1,31.1,19.5,68.7,24.1,
2022-08-25 11:00 ,0.8,62.4,26.1,22.4,83.0,27.8,
2022-08-25 12:00 ,0.8,53.1,20.4,21.9,85.8,28.6,
2022-08-25 13:00 ,0.8,88.7,29.5,43.4,98.0,30.7,
2022-08-25 14:00 ,0.8,126.1,41.0,63.4,93.6,29.7,
2022-08-25 15:00,0.3,0.7,110.6,33.0,60.1,93.3,26.5,
2022-08-25 16:00,0.4,0.8,163.3,51.1,85.1,99.9,28.2,
2022-08-25 17:00,0.6,0.7,130.2,36.1,74.7,94.5,28.2,
2022-08-25 18:00,0.8,0.9,183.4,62.0,88.5,87.3,26.1,
2022-08-25 19:00,0.9,1.3,329.2,130.8,128.4,90.5,26.9,
2022-08-25 20:00,1.1,1.2,236.9,87.8,102.3,87.5,26.7,
2022-08-25 21:00,1.2,1.2,225.3,93.9,81.4,82.6,26.7,
2022-08-25 22:00,1.4,1.4,261.9,125.6,69.3,80.6,26.6,
2022-08-25 23:00,1.5,1.0,152.4,64.4,53.7,69.9,24.6,
2022-08-26 00:00,1.5,0.8,109.7,41.8,45.6,57.4,23.2,
2022-08-26 01:00,1.5,0.7,104.8,42.6,39.4,96.5,28.1,
2022-08-26 02:00,1.5,0.5,66.3,22.3,32.1,43.2,18.9,
2022-08-26 03:00,1.5,0.4,63.1,22.2,29.0,69.6,21.1,
2022-08-26 04:00,1.4,0.4,79.5,33.9,27.5, ,24.8,
2022-08-26 05:00,1.3,0.5,134.9,66.5,32.9,66.2,19.4,
2022-08-26 06:00,1.3,0.8,301.2,165.6,47.3,71.1,20.5,
2022-08-26 07:00,1.3,0.7,276.8,138.4,64.5,73.9,20.3,
2022-08-26 08:00,1.3,0.6,178.5,77.2,60.2,60.1,19.4,
2022-08-26 09:00,1.7,0.6,219.7,97.1,70.9,73.4,22.2,
2022-08-26 10:00,2.0,0.5,126.5,43.9,59.2,54.7,17.2,
2022-08-26 11:00,1.9,0.4,128.1,43.1,62.1,53.4,17.3,
2022-08-26 12:00,1.6,0.4,98.8,29.3,53.8,48.7,16.3,
2022-08-26 13:00,1.3,0.4,120.9,39.1,60.9,50.9,14.5,
2022-08-26 14:00,0.9,0.4,95.2,29.4,50.2,35.0,10.6,
2022-08-26 15:00,0.7,0.4,122.0,37.7,64.2,29.3,9.3,
2022-08-26 16:00,0.6,0.4,134.2,38.6,75.2,27.0,8.8,
2022-08-26 17:00,0.5,0.4,98.4,25.4,59.5,27.3,9.5,
2022-08-26 18:00,0.5,0.5,140.2,41.7,76.6,30.2,11.0,
2022-08-26 19:00,0.5,0.8,228.4,81.7,103.0,33.5,12.2,
2022-08-26 20:00,0.6,0.8,223.3,83.4,95.4,38.2,14.8,
2022-08-26 21:00,0.7,1.3,389.1,186.2,103.5,47.8,18.9,
2022-08-26 22:00,0.8,0.8,204.9,82.5,78.5,55.1,19.9,
